property_type,servant_quarters,floors,parking_spaces,furnished,Price_PKR,Area_SqFt,Beds_Num,Baths_Num,Built_Year_Clean
House,1,2,1,Yes,22000000,1350.0,4,6,2023
House,1,2,1,Yes,22000000,1125.0,5,5,2025
House,2,2,4,Yes,22000000,1800.0,4,6,2024
House,0,2,2,No,22500000,1440.0,4,5,2024
House,2,2,1,Yes,22500000,1125.0,5,0,2026
House,2,2,2,Yes,22500000,1620.0,5,5,2024
House,1,1,1,Yes,23000000,1800.0,4,4,2025
House,2,1,8,Yes,23000000,1125.0,4,4,2025
House,1,2,0,Yes,23000000,1125.0,4,4,2024
House,0,2,0,No,23500000,1800.0,5,6,2025
House,0,2,1,Yes,23500000,1575.0,5,5,2024
House,1,2,1,Yes,23500000,1800.0,5,5,2025
House,1,2,2,Yes,24000000,1575.0,4,5,2025
House,0,2,2,No,24000000,1575.0,4,5,2025
House,0,2,2,Yes,24000000,1575.0,4,5,2025
House,0,1,0,Yes,24500000,1125.0,3,5,2025
House,1,2,2,Yes,25000000,1350.0,6,7,2020
House,0,2,0,No,25000000,1350.0,6,7,2023
House,1,2,1,Yes,25000000,2475.0,4,4,2025
House,2,2,1,Yes,25000000,1575.0,6,6,2025
House,2,2,2,Yes,25000000,1575.0,5,6,2025
House,1,2,1,Yes,25000000,1687.5,5,6,2026
House,2,2,5,No,25000000,1575.0,5,6,2026
House,1,2,2,No,25000000,1687.5,5,6,2026
House,2,2,1,Yes,25000000,1575.0,6,6,2025
House,1,2,2,Yes,25000000,2250.0,5,6,2025
House,1,2,1,Yes,25000000,1350.0,5,5,2025
House,1,2,1,Yes,25000000,1687.5,5,6,2026
House,1,2,2,Yes,25000000,2475.0,3,5,2019
House,1,2,2,Yes,25000000,2250.0,2,3,2022
House,2,2,9,Yes,25000000,2700.0,6,6,1998
House,1,1,2,No,25000000,1350.0,5,5,2023
House,2,2,4,Yes,25500000,1575.0,4,6,2023
House,0,1,0,No,26000000,2250.0,3,4,2026
House,1,2,2,Yes,26000000,1575.0,5,6,2025
House,1,2,1,No,26000000,1575.0,4,6,2025
House,1,2,0,Yes,26000000,1575.0,5,6,2024
House,1,2,1,No,26000000,2250.0,4,5,2015
House,1,2,2,No,27000000,1800.0,4,6,2025
House,1,3,2,No,27000000,2250.0,5,6,2024
House,1,2,1,No,27000000,1507.5,4,6,2025
House,0,2,1,No,27000000,1575.0,5,5,2025
House,0,1,2,No,27000000,1350.0,5,0,2025
House,1,2,2,No,27000000,2250.0,5,6,2024
House,0,2,1,Yes,27500000,1800.0,4,4,2025
House,1,1,0,Yes,27500000,1800.0,6,7,2027
House,1,3,2,Yes,27500000,1800.0,6,6,2025
House,1,2,0,Yes,27500000,1125.0,4,5,2025
House,1,1,1,Yes,27500000,1462.5,5,6,2025
House,1,2,0,Yes,29000000,1575.0,4,6,2025
House,1,1,0,Yes,29000000,2250.0,7,6,2023
House,0,1,1,No,30000000,1575.0,5,6,2026
House,2,2,1,Yes,30000000,1575.0,4,4,2026
House,1,1,4,Yes,30000000,2250.0,4,5,2010
House,1,2,2,Yes,30000000,1800.0,6,7,2025
House,1,2,2,No,31000000,1575.0,4,6,2025
House,2,2,1,Yes,31000000,1575.0,5,6,2025
House,1,2,1,Yes,31000000,1800.0,5,6,2024
House,2,2,1,Yes,31000000,1575.0,5,6,2025
House,1,2,2,Yes,32000000,1800.0,4,4,2022
House,1,1,3,Yes,32000000,2250.0,4,5,2025
House,0,2,5,Yes,32500000,3600.0,5,5,2021
House,1,2,2,No,32500000,1800.0,5,6,2025
House,1,2,2,Yes,32500000,2250.0,4,5,2024
House,1,2,2,Yes,32500000,2025.0,4,5,2024
House,1,2,2,Yes,32500000,2250.0,4,5,2024
House,0,2,2,No,33000000,2025.0,4,5,2025
House,0,1,2,Yes,33000000,2700.0,4,5,2016
House,1,1,0,No,35000000,3150.0,4,3,2015
House,0,2,10,Yes,35000000,4500.0,4,5,2024
House,0,2,0,No,35000000,1800.0,4,6,2026
House,2,2,2,Yes,35000000,1575.0,4,6,2024
House,2,2,2,Yes,35000000,1575.0,4,6,2024
House,2,2,2,Yes,35000000,1575.0,4,6,2024
House,0,2,2,No,35000000,2250.0,4,6,2025
House,1,2,2,Yes,35000000,1800.0,5,5,2026
House,1,2,2,No,35000000,1620.0,4,4,2025
House,0,2,1,No,35000000,2700.0,5,5,2024
House,1,2,3,No,35000000,2700.0,5,5,2024
House,0,2,2,No,35000000,1800.0,5,5,2026
House,1,2,0,Yes,35000000,1575.0,4,6,2024
House,0,2,2,No,35000000,4500.0,4,5,2023
House,0,1,2,No,35000000,1800.0,7,0,2026
House,1,2,2,No,35000000,4500.0,4,5,2019
House,1,2,2,Yes,35000000,2700.0,5,6,2024
House,1,2,2,Yes,35000000,2250.0,4,6,2019
House,1,2,0,Yes,35000000,2700.0,5,6,2024
House,1,2,2,No,36000000,2700.0,5,6,2021
House,1,2,1,Yes,36500000,1575.0,4,4,2025
House,1,1,2,Yes,37500000,3825.0,3,4,2020
House,1,2,1,No,37500000,1800.0,7,6,2025
House,1,3,1,Yes,37500000,3375.0,6,6,2024
House,0,1,0,No,37500000,2475.0,6,6,2024
House,1,3,2,Yes,37500000,2250.0,8,6,2025
House,1,1,0,Yes,37500000,1912.5,7,7,2025
House,1,2,0,Yes,37500000,2700.0,5,6,2024
House,0,2,0,Yes,38000000,2700.0,5,6,2024
House,2,2,2,No,38000000,2250.0,6,7,2024
House,1,2,2,No,39000000,2700.0,5,5,2024
House,0,1,3,No,39000000,3375.0,6,0,2025
House,0,2,0,Yes,39500000,2250.0,4,6,2026
House,2,3,800,Yes,40000000,2250.0,5,5,2008
House,2,3,800,Yes,40000000,2250.0,5,5,2008
House,1,2,2,Yes,40000000,2250.0,5,5,2025
House,1,1,1,Yes,40000000,2250.0,5,5,2020
House,0,2,0,No,40000000,2250.0,6,7,2024
House,1,2,4,No,40000000,2475.0,5,6,2024
House,1,2,2,No,40000000,2250.0,7,6,2025
House,0,1,0,No,40000000,2250.0,8,6,2022
House,1,1,0,No,42000000,4500.0,4,5,2025
House,0,1,2,No,42000000,2250.0,7,7,2024
House,1,1,2,Yes,42500000,1800.0,5,5,2021
House,1,2,2,Yes,42500000,2250.0,5,6,2025
House,2,2,4,Yes,42500000,3825.0,3,4,2025
House,0,2,2,No,43000000,2250.0,0,6,2025
House,1,2,1,Yes,43000000,2250.0,5,6,2010
House,0,2,3,Yes,43000000,2250.0,4,6,2024
House,0,2,4,No,43000000,2475.0,5,6,2026
House,1,2,2,No,43000000,2250.0,5,6,2020
House,0,2,0,No,43000000,2250.0,5,6,2024
House,0,2,2,Yes,43500000,2250.0,5,6,2025
House,1,3,2,No,43500000,2250.0,8,6,2025
House,0,2,2,No,43500000,2250.0,5,6,2025
House,2,1,2,Yes,43500000,2250.0,5,6,2025
House,1,2,2,No,43500000,2250.0,5,6,2025
House,1,1,3,No,44000000,2475.0,6,6,2011
House,2,3,4,Yes,44000000,3600.0,5,5,2025
House,1,2,2,No,45000000,2700.0,5,6,2026
House,1,2,2,Yes,45000000,2250.0,5,6,2025
House,0,2,2,Yes,45000000,2475.0,4,6,2025
House,2,2,2,Yes,45000000,2250.0,4,5,2025
House,1,2,2,No,45000000,2250.0,4,5,2025
House,1,2,0,No,45000000,4500.0,3,4,2025
House,0,1,2,No,45000000,2250.0,5,0,2025
House,1,2,2,Yes,45000000,2475.0,5,6,2019
House,1,2,2,No,45000000,2475.0,5,6,2025
House,2,1,4,Yes,45000000,2250.0,4,5,2015
House,0,3,2,No,45000000,2475.0,6,0,2024
House,1,3,2,Yes,45000000,2250.0,5,0,2024
House,1,2,2,Yes,46000000,2272.5,6,6,2025
House,1,2,2,No,46000000,2250.0,5,5,2025
House,1,2,2,No,46000000,2250.0,5,5,2025
House,1,2,2,Yes,46000000,2475.0,5,5,2025
House,1,2,1,Yes,46000000,2250.0,6,6,2023
House,1,2,2,No,46000000,2250.0,5,5,2025
House,1,2,2,Yes,46000000,2475.0,5,5,2025
House,1,2,1,Yes,46000000,2250.0,6,6,2023
House,0,1,2,No,46000000,2250.0,4,6,2025
House,0,2,30,Yes,46000000,2250.0,6,6,2025
House,1,1,0,No,47000000,2250.0,5,6,2022
House,1,2,0,No,47500000,2250.0,7,6,2025
House,1,2,0,No,47500000,2250.0,7,6,2025
House,0,1,2,Yes,48000000,2475.0,4,6,2024
House,0,2,2,Yes,48000000,2250.0,5,6,2018
House,1,2,1,Yes,48500000,2475.0,5,6,2025
House,1,2,1,Yes,48500000,2475.0,5,5,2026
House,1,1,1,No,48500000,2250.0,6,6,2025
House,1,1,1,No,48500000,2250.0,6,6,2025
House,1,2,2,Yes,48500000,2250.0,5,6,2025
House,1,2,0,No,48500000,2250.0,4,5,2022
House,1,2,4,No,49000000,2475.0,5,5,2025
House,1,3,2,Yes,49000000,2250.0,7,6,2025
House,1,2,1,Yes,49000000,2475.0,5,5,2026
House,0,2,2,No,49000000,2250.0,5,6,2025
House,0,2,1,No,49000000,2250.0,6,6,2025
House,1,2,0,Yes,50000000,4500.0,5,6,2024
House,0,1,4,Yes,50000000,5850.0,5,6,2023
House,1,2,0,Yes,52500000,2250.0,4,6,2026
House,1,3,3,No,52500000,4500.0,6,7,2024
House,1,1,1,Yes,52500000,3375.0,7,7,2025
House,1,1,1,Yes,52500000,3375.0,7,7,2025
House,1,1,1,Yes,52500000,3375.0,7,7,2025
House,1,2,1,Yes,55000000,2250.0,5,6,2024
House,1,2,1,Yes,55000000,2250.0,5,6,2024
House,1,2,1,Yes,55000000,2250.0,5,6,2024
House,1,2,1,Yes,55000000,2250.0,5,6,2024
House,1,2,1,Yes,55000000,2250.0,5,6,2024
House,1,1,2,Yes,55000000,3600.0,6,7,2025
